id;title;price;promo_price;url
3867335;Фигурка Jurassic World Атакующий Тирекс GWD67;6999 RUB;3999 RUB;https://www.detmir.ru/product/index/id/3867335/
3473688;Игрушка Star Wars Мандалорец малыш Йода Грогу GWD85;4599 RUB;2899 RUB;https://www.detmir.ru/product/index/id/3473688/
3310681;Набор игровой Paw Patrol 5в1 Полицейская с Гончиком 6058329;14999 RUB;10720 RUB;https://www.detmir.ru/product/index/id/3310681/
3785930;Игрушка Star Wars Мандалорец Малыш Йода Грогу HBX33;6299 RUB;3999 RUB;https://www.detmir.ru/product/index/id/3785930/
3780222;Игрушка радиоуправляемая Star Wars Малыш Йода Грогу GWD87;8499 RUB;5899 RUB;https://www.detmir.ru/product/index/id/3780222/
3137681;Фигурка Jurassic World Индораптор FVW27;3499 RUB;2999 RUB;https://www.detmir.ru/product/index/id/3137681/
3867339;Фигурка Jurassic World Хлопающий Скорпиос Рекс HBT41;4499 RUB;2924 RUB;https://www.detmir.ru/product/index/id/3867339/
4740010;Маска Jurassic World Рычащий Тираннозавр Рекс GWD71;5999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/4740010/
3696803;Фигурка Jurassic World Тираннозавр Рекс экстремальные повреждения GWN26;3499 RUB;2999 RUB;https://www.detmir.ru/product/index/id/3696803/
3657422;Набор фигурок Paw Patrol Кино 6героев 6060361;3499 RUB;2617 RUB;https://www.detmir.ru/product/index/id/3657422/
3657476;Набор Paw Patrol Кино Патроллер 6060442;9999 RUB;8799 RUB;https://www.detmir.ru/product/index/id/3657476/
4481084;Игрушка Minecraft Алмазный меч HDV53;1699 RUB;1399 RUB;https://www.detmir.ru/product/index/id/4481084/
3755399;Фигурка SPIDEY AND HIS AMAZING FRIENDS Паучок Спайди мини-паучок F24125L0;3699 RUB;2999 RUB;https://www.detmir.ru/product/index/id/3755399/
3228353;Игрушка Человек-Паук (Spider-man) (SM) Человек-паук E73335L2;1899 RUB;1105 RUB;https://www.detmir.ru/product/index/id/3228353/
4740012;Фигурка Jurassic World Свирепый динозавр Ти-Рекс большой HDY55;6999 RUB;5899 RUB;https://www.detmir.ru/product/index/id/4740012/
3819408;Набор игровой Bakugan Сражение с геоганами 1 6061239;4999 RUB;3199 RUB;https://www.detmir.ru/product/index/id/3819408/
3867353;Набор игровой IMAGINEXT Замок Львиное Королевство с приключениями HCG45;4799 RUB;3499 RUB;https://www.detmir.ru/product/index/id/3867353/
3345444;Фигурка IMAGINEXT Jurassic World Индоминус Рекс GMR16;3899 RUB;2999 RUB;https://www.detmir.ru/product/index/id/3345444/
3657477;Набор Paw Patrol Кино Смотровая башня 6060353;23999 RUB;19999 RUB;https://www.detmir.ru/product/index/id/3657477/
3846686;Трансформер ТОБОТ Детективы Галактики Капитан Зак Сезон 2 301111;7656 RUB;5499 RUB;https://www.detmir.ru/product/index/id/3846686/
3310418;Набор игровой Paw Patrol Динозавры Динопатроллер интерактивный 6058905;9999 RUB;7999 RUB;https://www.detmir.ru/product/index/id/3310418/
4237763;Набор Yume Harry Potter Магическая капсула 3серия в непрозрачной упаковке (Сюрприз) 13540;1490 RUB;1319 RUB;https://www.detmir.ru/product/index/id/4237763/
3191471;Игрушка Ben10 Часы Омнитрикс сезон 3 76953;2678 RUB;1978 RUB;https://www.detmir.ru/product/index/id/3191471/
3483638;Фигурка Marvel Страйк Мстители Желеный человек F16655X0;1999 RUB;1090 RUB;https://www.detmir.ru/product/index/id/3483638/
3228310;Игрушка Hasbro (Marvel) Халк Титан Делюкс E74755L2;2999 RUB;1780 RUB;https://www.detmir.ru/product/index/id/3228310/
4740009;Машина Jurassic World Трак для ловли динозавров GWD66;4999 RUB;3699 RUB;https://www.detmir.ru/product/index/id/4740009/
3867340;Фигурка Jurassic World Гигантский Карнотавр Торо HBY86;8299 RUB;5599 RUB;https://www.detmir.ru/product/index/id/3867340/
