id;title;price;promo_price;url
3030012;Пистолет водяной X-SHOT  01228;1399 RUB;899 RUB;https://www.detmir.ru/product/index/id/3030012/
3294754;Набор игровой Nerf Коммандер E9485EU4;1999 RUB;1200 RUB;https://www.detmir.ru/product/index/id/3294754/
3294755;Набор игровой Nerf Шоквэйв E9527EU4;3999 RUB;2859 RUB;https://www.detmir.ru/product/index/id/3294755/
3030015;Пистолет водяной X-SHOT  5643;399 RUB;259 RUB;https://www.detmir.ru/product/index/id/3030015/
4050095;Пистолет водяной X-SHOT  Нано 56333;869 RUB;559 RUB;https://www.detmir.ru/product/index/id/4050095/
3030013;Пистолет водяной X-SHOT  01233;1199 RUB;779 RUB;https://www.detmir.ru/product/index/id/3030013/
3252330;Набор X-SHOT  Глаз Ястреба 36435;1999 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3252330/
3228305;Игрушка Nerf Фортнайт BASR E7522EU4;5999 RUB;3874 RUB;https://www.detmir.ru/product/index/id/3228305/
3228299;Набор игровой Nerf Elite 2 Эхо E9533EU4;4999 RUB;3103 RUB;https://www.detmir.ru/product/index/id/3228299/
3483575;Набор игровой Hasbro (Nerf) Бластер Дино Рекс Рэмпейдж F0807EU4;6999 RUB;4299 RUB;https://www.detmir.ru/product/index/id/3483575/
3252329;Набор X-SHOT  MK 3 Дабл Комбо 36432;1599 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3252329/
3612629;Набор X-SHOT  Omega 36430;5799 RUB;3499 RUB;https://www.detmir.ru/product/index/id/3612629/
3011206;Набор для стрельбы X-SHOT  Турбо наступление;5999 RUB;3499 RUB;https://www.detmir.ru/product/index/id/3011206/
4483045;Набор игровой Nerf Иглпоинт RD8 F0423EU4;3999 RUB;2682 RUB;https://www.detmir.ru/product/index/id/4483045/
3294750;Набор игровой Nerf Феникс E9961EU4;3199 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3294750/
3174331;Набор для стрельбы X-SHOT  Турбо Огонь 36270;4999 RUB;2799 RUB;https://www.detmir.ru/product/index/id/3174331/
3294504;Набор игровой Nerf Ультра One E65953R0;6999 RUB;4223 RUB;https://www.detmir.ru/product/index/id/3294504/
3176975;Игрушка Nerf Фортнайт Скар E6158EU4;7499 RUB;4659 RUB;https://www.detmir.ru/product/index/id/3176975/
3156109;Бластер Nerf Зомби Страйк Квадрот E2673EU4;1599 RUB;999 RUB;https://www.detmir.ru/product/index/id/3156109/
3176976;Игрушка Nerf Фортнайт Спрингер E6717EU4;2999 RUB;1840 RUB;https://www.detmir.ru/product/index/id/3176976/
3755165;Набор игровой Nerf Фортнайт B AR F2344EU4;6399 RUB;4319 RUB;https://www.detmir.ru/product/index/id/3755165/
3483577;Набор игровой Hasbro (Nerf) Бластер Дино Стегосмэш F0805EU4;1699 RUB;999 RUB;https://www.detmir.ru/product/index/id/3483577/
3448025;Пушка водная Abero YS0331085;169 RUB;99 RUB;https://www.detmir.ru/product/index/id/3448025/
3188502;Игрушка Nerf Фортнайт Ракетница E7511EU4;4799 RUB;3149 RUB;https://www.detmir.ru/product/index/id/3188502/
4483044;Набор игровой Nerf Фотнайт Хэви SR F0929EU4;7699 RUB;5749 RUB;https://www.detmir.ru/product/index/id/4483044/
3755164;Набор игровой Nerf Ультра Селект F0959ZR0;8899 RUB;4449 RUB;https://www.detmir.ru/product/index/id/3755164/
3294753;Набор игровой Nerf Турбина E9481EU4;6499 RUB;3850 RUB;https://www.detmir.ru/product/index/id/3294753/
3297362;Набор игровой Nerf Ультра Дорадо F2018ZR0;5299 RUB;2999 RUB;https://www.detmir.ru/product/index/id/3297362/
3176974;Игрушка Nerf Мега Мегалодон E4217EU4;5999 RUB;4299 RUB;https://www.detmir.ru/product/index/id/3176974/
3465246;Бластер FUNGUN 6200S;3999 RUB;2499 RUB;https://www.detmir.ru/product/index/id/3465246/
3448022;Пистолет водный Abero 15319-125;119 RUB;89 RUB;https://www.detmir.ru/product/index/id/3448022/
3294749;Бластер Nerf Вольт E9952EU4;1599 RUB;943 RUB;https://www.detmir.ru/product/index/id/3294749/
3294752;Набор игровой Nerf Трио E9954EU4;999 RUB;659 RUB;https://www.detmir.ru/product/index/id/3294752/
3252333;Набор X-SHOT  Сокрушитель 36382;5999 RUB;3499 RUB;https://www.detmir.ru/product/index/id/3252333/
3251715;Бластер Nerf Райвл Чарджер E8449RS0;5999 RUB;3999 RUB;https://www.detmir.ru/product/index/id/3251715/
3490998;Набор игровой Nerf Райвл Кёрв Сайдсвайп F0379121;4199 RUB;2553 RUB;https://www.detmir.ru/product/index/id/3490998/
3448020;Пистолет водный Abero YS0245118;39 RUB;29 RUB;https://www.detmir.ru/product/index/id/3448020/
3612592;Набор X-SHOT  Reflex 6 Golden 36475;2249 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3612592/
3755349;Набор игровой Nerf Фортнайт 6-SH F2678EU4;3199 RUB;2231 RUB;https://www.detmir.ru/product/index/id/3755349/
3174330;Набор для стрельбы X-SHOT  Combo 36234;3799 RUB;2899 RUB;https://www.detmir.ru/product/index/id/3174330/
3294756;Набор игровой Nerf Фортнайт SR E9391EU4;2999 RUB;2298 RUB;https://www.detmir.ru/product/index/id/3294756/
3228307;Набор игровой Nerf FN SMG E8977EU4;3399 RUB;2299 RUB;https://www.detmir.ru/product/index/id/3228307/
3187773;Набор для стрельбы Global Bros Space Weapon Нейтрализатор 590018;1699 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3187773/
3294751;Набор игровой Nerf Варден E9959EU4;3199 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3294751/
3448023;Пистолет водный Abero 15319-777;189 RUB;139 RUB;https://www.detmir.ru/product/index/id/3448023/
4483041;Набор игровой Nerf Дино Сквад Раптор Слэш F2475EU4;2599 RUB;1877 RUB;https://www.detmir.ru/product/index/id/4483041/
4113710;Набор X-SHOT  Эксесс 36436;2699 RUB;1999 RUB;https://www.detmir.ru/product/index/id/4113710/
3465241;Бластер FUNGUN 6340;1599 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3465241/
3483535;Набор игровой Hasbro (Nerf) Ультра АМП F0955ZR0;4999 RUB;2082 RUB;https://www.detmir.ru/product/index/id/3483535/
3755348;Набор игровой Nerf Элит 2.0 Флип 32 F2553EU4;7799 RUB;3799 RUB;https://www.detmir.ru/product/index/id/3755348/
3174329;Набор для стрельбы X-SHOT  Kickback 36184;899 RUB;599 RUB;https://www.detmir.ru/product/index/id/3174329/
3174345;Набор для стрельбы X-SHOT  Combo 36226;3799 RUB;2499 RUB;https://www.detmir.ru/product/index/id/3174345/
3251718;Бластер Nerf Райвл Тэйкдаун E8446RS0;3499 RUB;2599 RUB;https://www.detmir.ru/product/index/id/3251718/
3092020;Набор X-SHOT  Двойной пульс 36202;1799 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3092020/
3465248;Бластер FUNGUN 6270;6799 RUB;3399 RUB;https://www.detmir.ru/product/index/id/3465248/
3612630;Набор X-SHOT  Turbo Combo Fire 36421;6499 RUB;3959 RUB;https://www.detmir.ru/product/index/id/3612630/
3483576;Набор игровой Hasbro (Nerf) Бластер Дино Трицерабласт F0803EU4;3299 RUB;2279 RUB;https://www.detmir.ru/product/index/id/3483576/
3252326;Набор X-SHOT  Vigilante 36437;2299 RUB;1640 RUB;https://www.detmir.ru/product/index/id/3252326/
3025275;Автомат Global Bros OTE0631513;1399 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3025275/
3755163;Набор игровой Nerf Фортнайт SMG Зести F0319EU4;4499 RUB;3343 RUB;https://www.detmir.ru/product/index/id/3755163/
3011472;Набор для стрельбы X-SHOT  Regenerator бластер 2 рожка 48 дротиков;5999 RUB;4999 RUB;https://www.detmir.ru/product/index/id/3011472/
3448024;Пистолет водный Abero YS0233078;269 RUB;199 RUB;https://www.detmir.ru/product/index/id/3448024/
3187771;Набор для стрельбы Global Bros Space Weapon Космобой 590008;699 RUB;519 RUB;https://www.detmir.ru/product/index/id/3187771/
3252331;Набор X-SHOT  Крупная перестрелка 36251;5999 RUB;3999 RUB;https://www.detmir.ru/product/index/id/3252331/
3465243;Бластер FUNGUN 6359-1;2999 RUB;1699 RUB;https://www.detmir.ru/product/index/id/3465243/
3148835;Пистолет водяной X-SHOT  Zuru 56100;1799 RUB;1169 RUB;https://www.detmir.ru/product/index/id/3148835/
3011207;Набор дополнительных дротиков X-SHOT  100 шт;1399 RUB;799 RUB;https://www.detmir.ru/product/index/id/3011207/
680591;Бластер Nerf Зомби Страйк Переворот (A9603);3299 RUB;2024 RUB;https://www.detmir.ru/product/index/id/680591/
3755347;Набор игровой Nerf Элит 2.0 Флип 16 F2551EU4;5599 RUB;2479 RUB;https://www.detmir.ru/product/index/id/3755347/
3465247;Бластер FUNGUN 6388;3299 RUB;2399 RUB;https://www.detmir.ru/product/index/id/3465247/
3612593;Набор X-SHOT  Hawk Eye Golden 36479;2999 RUB;2199 RUB;https://www.detmir.ru/product/index/id/3612593/
3152425;Бластер Nerf Мега Бульдог E3057EU4;2799 RUB;2217 RUB;https://www.detmir.ru/product/index/id/3152425/
