id;title;price;promo_price;url
3153393;Автовоз Mobicaro 1:16 инерционный OTB0566957;1899 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3153393/
3153399;Машина Mobicaro 1:16 пожарная инерционная OTB0564716;1399 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3153399/
3867332;Машинка Hot Wheels Монстр-трак светящийся в темноте в ассортименте HCB50;999 RUB;610 RUB;https://www.detmir.ru/product/index/id/3867332/
3153397;Машина Mobicaro 1:16 Мусоровоз инерционная OTG0881451;1299 RUB;899 RUB;https://www.detmir.ru/product/index/id/3153397/
3867280;Набор-сюрприз Hot Wheels Меняющие цвет машинки 2шт в непрозрачной упаковке GYP13;1455 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3867280/
3151684;Машинка Hot Wheels Worldwide базовая в ассортименте C4982;299 RUB;199 RUB;https://www.detmir.ru/product/index/id/3151684/
3507430;Набор игровой Hot Wheels Грузовик Голодная акула с хранилищем для машинок GVG36;2499 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3507430/
3269269;Машинка Mobicaro 1:12 Пожарная инерционная WY851A;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269269/
3200861;Набор мини-машинок Rhino Construction Спецтехника 5 шт. 30030;999 RUB;799 RUB;https://www.detmir.ru/product/index/id/3200861/
222052;Кран Dickie Dickie на ДУ 3462412;4989 RUB;2935 RUB;https://www.detmir.ru/product/index/id/222052/
3724958;Мусоровоз Mobicaro 1:14 666-53P;2199 RUB;1509 RUB;https://www.detmir.ru/product/index/id/3724958/
41901;Пожарная машина Bruder MAN со светом и звуком 1:16;6791 RUB;5599 RUB;https://www.detmir.ru/product/index/id/41901/
156622;Машинка-трансформер POLI Robocar Poli Хэли 10 см;1739 RUB;1170 RUB;https://www.detmir.ru/product/index/id/156622/
3269263;Машинка Mobicaro 1:12 Мусоровоз инерционная WY820A;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269263/
3153392;Трактор Mobicaro 1:16 инерционный OTB0567774;999 RUB;709 RUB;https://www.detmir.ru/product/index/id/3153392/
3153384;Модель сборная Mobicaro Экскаватор с шуруповертом-двигателем 7128596;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153384/
4480982;Грузовик Hot Wheels Разъяренный дракон с хранилищем для машинок GTK42;2799 RUB;2399 RUB;https://www.detmir.ru/product/index/id/4480982/
3153388;Модель сборная Mobicaro Пожарная машина с шуруповертом-двигателем 7128672;1999 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3153388/
220662;Мега-кран Dickie 110 см;3289 RUB;1999 RUB;https://www.detmir.ru/product/index/id/220662/
145312;Машинка-трансформер POLI Robocar Poli Поли 10 см;1739 RUB;1043 RUB;https://www.detmir.ru/product/index/id/145312/
3025267;Машинка Mobicaro Автобус инерционная в ассортименте 7115205;499 RUB;359 RUB;https://www.detmir.ru/product/index/id/3025267/
3269264;Машинка Mobicaro 1:12 Эвакуатор инерционная WY831C;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269264/
3153387;Модель сборная Mobicaro Грузовик с шуруповертом-двигателем 7128625;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153387/
145332;Машинка-трансформер POLI Robocar Poli Рой 10 см;1739 RUB;1304 RUB;https://www.detmir.ru/product/index/id/145332/
2864631;Манипулятор Mobicaro инерционный  со световыми и звуковыми эффектами;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2864631/
3153395;Машина Mobicaro 1:16 Уборщик инерционная OTB0564720;1199 RUB;829 RUB;https://www.detmir.ru/product/index/id/3153395/
3269270;Машинка Mobicaro 1:12 Самосвал инерционная WY810B;1999 RUB;1191 RUB;https://www.detmir.ru/product/index/id/3269270/
7741;Бетономешалка Bruder MAN 1:16;5968 RUB;4775 RUB;https://www.detmir.ru/product/index/id/7741/
2864661;Кран Mobicaro инерционный;899 RUB;579 RUB;https://www.detmir.ru/product/index/id/2864661/
2864711;Бетономешалка Mobicaro 1:12 со световыми и звуковыми эффектами;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2864711/
3190572;Набор игровой Hot Wheels Передвижная трасса для гонок GFR15;6999 RUB;5499 RUB;https://www.detmir.ru/product/index/id/3190572/
3269283;Машинка Mobicaro 1:50 Автовоз WY792B;999 RUB;716 RUB;https://www.detmir.ru/product/index/id/3269283/
41891;Подъемный кран Bruder MAN 1:16;6196 RUB;4029 RUB;https://www.detmir.ru/product/index/id/41891/
3269248;Машинка Mobicaro Пожарная фрикционная A5577-2;999 RUB;689 RUB;https://www.detmir.ru/product/index/id/3269248/
3269282;Машинка Mobicaro 1:20 Мусоровоз фрикционная WY521A;999 RUB;599 RUB;https://www.detmir.ru/product/index/id/3269282/
3193546;Машина Hot Wheels Street Creatures Sharkruiser 51201;999 RUB;699 RUB;https://www.detmir.ru/product/index/id/3193546/
3269268;Машинка Mobicaro 1:12 Эвакуатор инерционная WY832B;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269268/
3269284;Самолет Mobicaro 1:200 инерционный WY710B;999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269284/
3724955;Грузовик Mobicaro 1:14 666-50P;2199 RUB;1389 RUB;https://www.detmir.ru/product/index/id/3724955/
3724957;Грузовик-бетономешалка Mobicaro 1:14 666-52P;2199 RUB;1866 RUB;https://www.detmir.ru/product/index/id/3724957/
3269285;Машинка Mobicaro Автовоз с треком WY206;2699 RUB;1763 RUB;https://www.detmir.ru/product/index/id/3269285/
145362;Машинка-трансформер POLI Robocar Poli Эмбер 10 см;1739 RUB;1399 RUB;https://www.detmir.ru/product/index/id/145362/
3931444;Машина Bruder Mercedes Benz Sprinter с 2 фигурками 02-670;8509 RUB;5105 RUB;https://www.detmir.ru/product/index/id/3931444/
2890081;Мусоровоз Bruder MAN TGS;7794 RUB;6839 RUB;https://www.detmir.ru/product/index/id/2890081/
3507426;Набор Hot Wheels Монстр-трак Автотрек Двойное уничтожение GYC80;2999 RUB;1769 RUB;https://www.detmir.ru/product/index/id/3507426/
3363591;Машина Bruder подметально-уборочная 03-780;16278 RUB;8157 RUB;https://www.detmir.ru/product/index/id/3363591/
3153398;Подъемник Mobicaro 1:16 инерционный OTB0564706;1199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3153398/
3153451;Погрузчик Mobicaro YS263137;1999 RUB;1499 RUB;https://www.detmir.ru/product/index/id/3153451/
2864651;Машинка Mobicaro Пожарная инерционная;899 RUB;609 RUB;https://www.detmir.ru/product/index/id/2864651/
3153385;Модель сборная Mobicaro Бульдозер с шуруповертом-двигателем 7128608;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153385/
3189300;Коврик игровой TOCAGO LED TPM-001A;1759 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3189300/
3088536;Трактор Zebratoys Active с ковшом и прицепом Синий 15-10173;1149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088536/
3696572;Трактор Bruder Fendt 1050 Vario с фигуркой и аксессуарами 04-041;9149 RUB;5485 RUB;https://www.detmir.ru/product/index/id/3696572/
4481069;Машинка Hot Wheels РУ Бэтмобиль HBL43;2299 RUB;1249 RUB;https://www.detmir.ru/product/index/id/4481069/
3269266;Машинка Mobicaro 1:12 Автокран инерционная WY812A;1999 RUB;1779 RUB;https://www.detmir.ru/product/index/id/3269266/
3931519;Набор Bruder полицейского с мотоциклом 62-732;5971 RUB;3587 RUB;https://www.detmir.ru/product/index/id/3931519/
3507556;Набор машинок Hot Wheels 5шт GMY09;2999 RUB;2140 RUB;https://www.detmir.ru/product/index/id/3507556/
3269265;Машинка Mobicaro 1:12 Бетономешалка инерционная WY811A;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269265/
3228697;Машина Driven Мусоровоз Зеленый WH1003Z;6499 RUB;5999 RUB;https://www.detmir.ru/product/index/id/3228697/
3682479;Мотоцикл Bruder с фигуркой полицейского 62-731;3339 RUB;2166 RUB;https://www.detmir.ru/product/index/id/3682479/
3178171;Мини-погрузчик Bruder Cat 02-481;3120 RUB;1719 RUB;https://www.detmir.ru/product/index/id/3178171/
3117510;Поезд Mobicaro инерционный YS248459;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3117510/
3696712;Автомобиль Bruder Roadstar спортивный c водителем 03-481;5673 RUB;3399 RUB;https://www.detmir.ru/product/index/id/3696712/
3200865;Экскаватор Rhino Construction Спецтехника мини 30044;799 RUB;509 RUB;https://www.detmir.ru/product/index/id/3200865/
3682482;Машина Bruder Roadster спортивная с фигуркой 03-485;5179 RUB;3659 RUB;https://www.detmir.ru/product/index/id/3682482/
2405461;Набор Mobicaro Город ковер 80*70см с машинками;699 RUB;399 RUB;https://www.detmir.ru/product/index/id/2405461/
3430154;Машина Технопарк Автотрейлер 279720;2799 RUB;1475 RUB;https://www.detmir.ru/product/index/id/3430154/
3194028;Машина Bruder Schaffer Погрузчик с рулоном 02-192;3755 RUB;2144 RUB;https://www.detmir.ru/product/index/id/3194028/
3153389;Модель сборная Mobicaro Мусоровоз с шуруповертом-двигателем 7128678;1999 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3153389/
2865241;Трактор Mobicaro с прицепом;199 RUB;109 RUB;https://www.detmir.ru/product/index/id/2865241/
3153382;Машинка Mobicaro 1:72 7128814 в ассортименте;199 RUB;109 RUB;https://www.detmir.ru/product/index/id/3153382/
3117509;Автобус Mobicaro инерционный YS248456;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3117509/
3269267;Машинка Mobicaro 1:12 Уборочная инерционная WY830C;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269267/
3657482;Набор машинок Monster Jam мини 5шт 6061232;1599 RUB;999 RUB;https://www.detmir.ru/product/index/id/3657482/
3682478;Внедорожник Bruder с велосипедистом и фигуркой 02-543;7939 RUB;5302 RUB;https://www.detmir.ru/product/index/id/3682478/
3088538;Экскаватор Zebratoys Active Зеленый;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088538/
3194027;Трактор Bruder Massey Ferguson 02-046;9357 RUB;4800 RUB;https://www.detmir.ru/product/index/id/3194027/
3193548;Машина Hot Wheels Turbo Tuning Синий 51170;1399 RUB;1319 RUB;https://www.detmir.ru/product/index/id/3193548/
3657483;Набор Monster Jam Ловушка для мини машинок 6060718;2789 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3657483/
3931517;Набор Bruder Автозаправка с автомойкой и аксессуарами 62-111;10178 RUB;6107 RUB;https://www.detmir.ru/product/index/id/3931517/
3269276;Погрузчик Mobicaro 1:16 инерционный WY691A;1199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269276/
41911;Самосвал Bruder MAN 1:16;4917 RUB;3935 RUB;https://www.detmir.ru/product/index/id/41911/
3092798;Бензовоз Bruder Man Tgs 03-775;8345 RUB;7799 RUB;https://www.detmir.ru/product/index/id/3092798/
3020784;Трактор Zebratoys с ковшом и прицепом Active;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020784/
3153386;Модель сборная Mobicaro Бетономешалка с шуруповертом-двигателем 7128619;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153386/
3020785;Экскаватор Zebratoys Active;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020785/
4481146;Машинка Hot Wheels Монстр-трак Грузовик-транспортер Рино Риг HFB13;4769 RUB;3999 RUB;https://www.detmir.ru/product/index/id/4481146/
3193553;Машина Hot Wheels Mighty Speeders Sharkruiser 51206;599 RUB;399 RUB;https://www.detmir.ru/product/index/id/3193553/
3269277;Машинка Mobicaro 1:16 Снегоуборщик инерционная WY681A;1199 RUB;849 RUB;https://www.detmir.ru/product/index/id/3269277/
3020788;Трактор Zebratoys с ковшом Active Синий;749 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020788/
3724960;Машина Mobicaro 1:14 Пожарная 666-58P;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3724960/
3269275;Машинка Mobicaro 1:16 Автокран инерционная WY310E;1199 RUB;749 RUB;https://www.detmir.ru/product/index/id/3269275/
2405491;Набор Mobicaro Побережье ковер 80*120см с машинками;849 RUB;589 RUB;https://www.detmir.ru/product/index/id/2405491/
3194030;Машина Bruder Mercedes-Benz Самосвал с мини погрузчиком 03-624;12891 RUB;7739 RUB;https://www.detmir.ru/product/index/id/3194030/
2447451;Набор Mobicaro Полиция ковер 80*70см с машинками;599 RUB;389 RUB;https://www.detmir.ru/product/index/id/2447451/
546681;Машинка Mobicaro Ударник 51 см;699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/546681/
3193550;Машина Hot Wheels Turbo Tuning Трак 51170;1499 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3193550/
3269251;Машинка Mobicaro Бетономешалка фрикционная A6677-2;999 RUB;658 RUB;https://www.detmir.ru/product/index/id/3269251/
2865231;Набор Mobicaro Фермерская техника;149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865231/
3682477;Трактор Bruder John Deere с прицепом 62-104;4479 RUB;3583 RUB;https://www.detmir.ru/product/index/id/3682477/
3086540;Машинка Mobicaro Профи Самосвал 40-0057;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3086540/
3200837;Набор Bruder Ремонтный для мотоцикла 62-101;3999 RUB;2499 RUB;https://www.detmir.ru/product/index/id/3200837/
7681;Экскаватор Bruder 1:16 Liebherr;3212 RUB;2092 RUB;https://www.detmir.ru/product/index/id/7681/
3626997;Машинка Givito Автовоз Мой город с тоннелем + 5 машинок вертолет 10 дорожных знаков;3130 RUB;2535 RUB;https://www.detmir.ru/product/index/id/3626997/
3269272;Экскаватор Mobicaro 1:16 инерционный WY380A;1699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269272/
3020795;Самосвал Zebratoys Малыш;299 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020795/
2864731;Самосвал Mobicaro со световыми и звуковыми эффектами 1:12;1799 RUB;1319 RUB;https://www.detmir.ru/product/index/id/2864731/
3020783;Трактор Zebratoys Active с ковшом 15-5224;499 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020783/
3430135;Локомотив Технопарк 284122;1629 RUB;999 RUB;https://www.detmir.ru/product/index/id/3430135/
3226422;Игрушка Нордпласт Ракетная установка Щит 259/1;2624 RUB;1650 RUB;https://www.detmir.ru/product/index/id/3226422/
3193547;Машина Hot Wheels Street Creatures T-Rextroyer 51201;999 RUB;699 RUB;https://www.detmir.ru/product/index/id/3193547/
